outlet_product_id_,customer_id_,quantity_,date_,unitprice_
1368,3305,3,9/11/2022,45
1368,2433,2,9/11/2022,45
1368,1765,5,9/11/2022,45
1368,643,3,9/11/2022,45
1368,8752,4,9/11/2022,45
1368,995,4,9/11/2022,45
492,4508,2,9/11/2022,45
775,4277,4,9/11/2022,35
775,6608,3,9/11/2022,35
775,3389,1,9/11/2022,35
775,5276,3,9/11/2022,35
775,4499,4,9/11/2022,35
775,8273,1,9/11/2022,35
775,1502,5,9/11/2022,35
775,7940,5,9/11/2022,35
775,947,5,9/11/2022,35
775,1502,5,9/11/2022,35
775,8273,1,9/11/2022,35
775,9494,3,9/11/2022,35
775,9161,1,9/11/2022,35
775,4055,3,9/11/2022,35
775,9605,5,9/11/2022,35
775,6941,2,9/11/2022,35
775,170,5,9/11/2022,35
775,4721,4,9/11/2022,35
775,7163,1,9/11/2022,35
775,8051,5,9/11/2022,35
775,6608,3,9/11/2022,35
775,3611,5,9/11/2022,35
299,4020,1,9/11/2022,35
299,7438,3,9/11/2022,35
299,9903,1,9/11/2022,35
299,8561,2,9/11/2022,35
299,8007,3,9/11/2022,35
299,667,3,9/11/2022,35
299,6129,2,9/11/2022,35
299,1492,5,9/11/2022,35
299,5552,1,9/11/2022,35
299,5343,1,9/11/2022,35
299,3157,4,9/11/2022,35
299,6123,2,9/11/2022,35
299,4797,1,9/11/2022,35
299,7451,1,9/11/2022,35
299,4489,4,9/11/2022,35
299,8676,3,9/11/2022,35
299,160,5,9/11/2022,35
299,5441,4,9/11/2022,35
299,5457,2,9/11/2022,35
299,382,1,9/11/2022,35
299,9992,1,9/11/2022,35
299,4680,3,9/11/2022,35
299,3899,4,9/11/2022,35
299,1235,4,9/11/2022,35
280,7828,2,9/11/2022,45
280,2014,1,9/11/2022,45
280,9701,5,9/11/2022,45
280,2827,2,9/11/2022,45
280,7294,1,9/11/2022,45
280,4484,3,9/11/2022,45
280,155,5,9/11/2022,45
280,856,1,9/11/2022,45
280,6940,1,9/11/2022,45
280,5150,4,9/11/2022,45
280,9043,4,9/11/2022,45
476,179,2,9/11/2022,35
476,6698,4,9/11/2022,35
476,6710,3,9/11/2022,35
19,4822,1,9/11/2022,30
19,6573,4,9/11/2022,30
19,3109,2,9/11/2022,30
19,4581,1,9/11/2022,30
19,1444,2,9/11/2022,30
19,6240,5,9/11/2022,30
80,1053,4,9/11/2022,35
80,5476,2,9/11/2022,35
80,5282,3,9/11/2022,35
80,3035,3,9/11/2022,35
846,4060,4,9/11/2022,80
846,4393,1,9/11/2022,80
846,6391,4,9/11/2022,80
846,2173,3,9/11/2022,80
846,64,5,9/11/2022,80
846,5281,1,9/11/2022,80
846,6502,4,9/11/2022,80
846,7834,1,9/11/2022,80
846,8500,5,9/11/2022,80
846,2284,4,9/11/2022,80
846,3172,2,9/11/2022,80
846,9499,2,9/11/2022,80
846,5170,1,9/11/2022,80
846,2617,5,9/11/2022,80
846,6946,2,9/11/2022,80
846,5836,1,9/11/2022,80
846,7279,3,9/11/2022,80
846,6613,5,9/11/2022,80
846,175,2,9/11/2022,80
549,8642,4,9/11/2022,25
549,5370,1,9/11/2022,25
549,3583,4,9/11/2022,25
549,128,3,9/11/2022,25
549,3347,1,9/11/2022,25
549,1252,3,9/11/2022,25
549,8376,3,9/11/2022,25
584,842,3,9/11/2022,35
584,7220,4,9/11/2022,35
584,7972,2,9/11/2022,35
584,1037,1,9/11/2022,35
584,9108,1,9/11/2022,35
584,2191,1,9/11/2022,35
584,646,5,9/11/2022,35
584,3589,5,9/11/2022,35
584,1592,1,9/11/2022,35
584,2163,4,9/11/2022,35
584,512,1,9/11/2022,35
584,3,1,9/11/2022,35
584,4577,5,9/11/2022,35
584,3686,2,9/11/2022,35
584,9551,4,9/11/2022,35
584,7931,3,9/11/2022,35
584,5484,1,9/11/2022,35
584,782,2,9/11/2022,35
584,7687,2,9/11/2022,35
584,2931,1,9/11/2022,35
584,9109,4,9/11/2022,35
584,1559,4,9/11/2022,35
584,388,2,9/11/2022,35
584,6279,3,9/11/2022,35
584,7059,2,9/11/2022,35
584,6530,2,9/11/2022,35
584,3923,1,9/11/2022,35
584,3145,5,9/11/2022,35
584,2243,2,9/11/2022,35
584,3745,4,9/11/2022,35
584,6004,3,9/11/2022,35
135,2786,4,9/11/2022,35
135,2253,1,9/11/2022,35
135,7224,3,9/11/2022,35
135,786,2,9/11/2022,35
135,7115,3,9/11/2022,35
135,4451,3,9/11/2022,35
135,4229,1,9/11/2022,35
135,2009,3,9/11/2022,35
135,9141,5,9/11/2022,35
135,7694,3,9/11/2022,35
135,7472,4,9/11/2022,35
135,6346,3,9/11/2022,35
135,6124,1,9/11/2022,35
135,8455,1,9/11/2022,35
135,1600,5,9/11/2022,35
135,6477,4,9/11/2022,35
862,7886,3,9/11/2022,50
862,1147,3,9/11/2022,50
862,1861,5,9/11/2022,50
862,1580,5,9/11/2022,50
862,1812,4,9/11/2022,50
862,9331,1,9/11/2022,50
862,177,3,9/11/2022,50
862,7473,3,9/11/2022,50
862,6974,3,9/11/2022,50
862,7003,3,9/11/2022,50
862,7928,3,9/11/2022,50
862,6239,1,9/11/2022,50
862,8030,2,9/11/2022,50
862,1577,3,9/11/2022,50
862,7349,3,9/11/2022,50
862,565,1,9/11/2022,50
862,4889,5,9/11/2022,50
862,8797,4,9/11/2022,50
862,3810,3,9/11/2022,50
993,9398,3,9/11/2022,25
993,5839,1,9/11/2022,25
993,2405,1,9/11/2022,25
993,3289,4,9/11/2022,25
993,1184,2,9/11/2022,25
993,8059,1,9/11/2022,25
993,9283,2,9/11/2022,25
993,8503,1,9/11/2022,25
993,629,1,9/11/2022,25
993,629,5,9/11/2022,25
993,3182,3,9/11/2022,25
993,4396,4,9/11/2022,25
993,8503,2,9/11/2022,25
993,1732,4,9/11/2022,25
993,9058,1,9/11/2022,25
993,5398,1,9/11/2022,25
993,7289,1,9/11/2022,25
993,5839,5,9/11/2022,25
993,3844,4,9/11/2022,25
993,6061,2,9/11/2022,25
993,2072,3,9/11/2022,25
993,289,4,9/11/2022,25
993,5180,2,9/11/2022,25
993,5953,4,9/11/2022,25
